step:        0 | loss:  11.3339 | norm:   3.0910 | time:     6.48 | tok/s:  16587.9 | lr: 0.000100 | mfu:   101.30%
step:       10 | loss:  11.0602 | norm:   3.4377 | time:    58.51 | tok/s:  27043.0 | lr: 0.000600 | mfu:   165.14%
step:       20 | loss:  10.3625 | norm:   3.1077 | time:   107.05 | tok/s:  26975.7 | lr: 0.001100 | mfu:   164.73%
step:       30 | loss:   9.3771 | norm:   2.4769 | time:   155.66 | tok/s:  26953.6 | lr: 0.001600 | mfu:   164.60%
step:       40 | loss:   8.5951 | norm:   2.4345 | time:   204.32 | tok/s:  26949.3 | lr: 0.002100 | mfu:   164.57%
step:       50 | loss:   7.7043 | norm:   1.9156 | time:   252.98 | tok/s:  26949.1 | lr: 0.002600 | mfu:   164.57%
step:       60 | loss:   7.1011 | norm:   1.2595 | time:   301.63 | tok/s:  26947.1 | lr: 0.003100 | mfu:   164.56%
step:       70 | loss:   6.5136 | norm:   1.0817 | time:   350.38 | tok/s:  26922.2 | lr: 0.003600 | mfu:   164.41%
step:       80 | loss:   6.2121 | norm:   2.7461 | time:   399.05 | tok/s:  26945.3 | lr: 0.004100 | mfu:   164.55%
step:       90 | loss:   5.9748 | norm:   4.1524 | time:   447.72 | tok/s:  26946.2 | lr: 0.004600 | mfu:   164.55%
step:      100 | loss:   5.6360 | norm:   3.2505 | time:   496.39 | tok/s:  26944.0 | lr: 0.005100 | mfu:   164.54%
step:      110 | loss:   5.4712 | norm:   3.7976 | time:   545.07 | tok/s:  26950.3 | lr: 0.005600 | mfu:   164.58%
step:      120 | loss:   5.2603 | norm:   3.3359 | time:   593.75 | tok/s:  26940.7 | lr: 0.006100 | mfu:   164.52%
step:      130 | loss:   5.1395 | norm:   3.1957 | time:   642.42 | tok/s:  26932.0 | lr: 0.006600 | mfu:   164.47%
step:      140 | loss:   4.9491 | norm:   3.6897 | time:   691.17 | tok/s:  26940.1 | lr: 0.007100 | mfu:   164.52%
step:      150 | loss:   4.9624 | norm:   2.6727 | time:   739.85 | tok/s:  26946.9 | lr: 0.007600 | mfu:   164.56%
step:      160 | loss:   4.8024 | norm:   3.0062 | time:   788.53 | tok/s:  26934.7 | lr: 0.008100 | mfu:   164.48%
step:      170 | loss:   4.7710 | norm:   3.5211 | time:   837.23 | tok/s:  26912.0 | lr: 0.008600 | mfu:   164.34%
step:      180 | loss:   4.8052 | norm:   3.8349 | time:   885.92 | tok/s:  26929.9 | lr: 0.009100 | mfu:   164.45%
step:      190 | loss:   4.6591 | norm:   3.5107 | time:   934.60 | tok/s:  26939.1 | lr: 0.009600 | mfu:   164.51%
step:      200 | loss:   4.5225 | norm:   3.1772 | time:   983.29 | tok/s:  26946.4 | lr: 0.010100 | mfu:   164.55%
step:      210 | loss:   4.4654 | norm:   3.9490 | time:  1031.97 | tok/s:  26936.0 | lr: 0.010000 | mfu:   164.49%
step:      220 | loss:   4.5066 | norm:   2.5411 | time:  1080.73 | tok/s:  26937.1 | lr: 0.010000 | mfu:   164.50%
step:      230 | loss:   4.4550 | norm:   3.3413 | time:  1129.41 | tok/s:  26495.6 | lr: 0.010000 | mfu:   161.80%
step:      240 | loss:   4.4260 | norm:   2.9729 | time:  1178.19 | tok/s:  26920.8 | lr: 0.010000 | mfu:   164.40%
step:      250 | loss:   4.3198 | norm:   2.5302 | time:  1226.89 | tok/s:  26919.5 | lr: 0.010000 | mfu:   164.39%
step:      260 | loss:   4.3941 | norm:   2.8075 | time:  1275.58 | tok/s:  26922.9 | lr: 0.010000 | mfu:   164.41%
step:      270 | loss:   4.2954 | norm:   2.7027 | time:  1324.28 | tok/s:  26939.1 | lr: 0.010000 | mfu:   164.51%
step:      280 | loss:   4.3140 | norm:   2.9362 | time:  1373.04 | tok/s:  26930.5 | lr: 0.010000 | mfu:   164.46%
step:      290 | loss:   4.1919 | norm:   2.7340 | time:  1421.75 | tok/s:  26908.9 | lr: 0.010000 | mfu:   164.33%
step:      300 | loss:   4.2032 | norm:   2.0538 | time:  1470.45 | tok/s:  26923.6 | lr: 0.010000 | mfu:   164.42%
step:      310 | loss:   4.0113 | norm:   2.6249 | time:  1519.16 | tok/s:  26916.6 | lr: 0.010000 | mfu:   164.37%
step:      320 | loss:   4.0281 | norm:   2.7512 | time:  1567.86 | tok/s:  26920.2 | lr: 0.010000 | mfu:   164.39%
