step:        0 | loss:  11.2860 | norm:   1.9865 | time:     6.57 | tok/s: 10377.061406 | lr: 0.000100
step:      570 | loss:   4.0467 | norm:   1.9627 | time:  1152.30 | tok/s: 32843.666511 | lr: 0.010000
step:      580 | loss:   4.1435 | norm:   1.7393 | time:  1172.27 | tok/s: 32847.767928 | lr: 0.010000
step:      590 | loss:   4.1291 | norm:   1.8856 | time:  1192.24 | tok/s: 32864.234926 | lr: 0.010000
step:      600 | loss:   4.1823 | norm:   6.1807 | time:  1212.21 | tok/s: 32836.769021 | lr: 0.010000
step:      610 | loss:   4.2536 | norm:   1.6894 | time:  1232.17 | tok/s: 32822.665262 | lr: 0.010000
step:      620 | loss:   4.0798 | norm:   2.0273 | time:  1252.14 | tok/s: 32827.078981 | lr: 0.010000
step:      630 | loss:   4.0267 | norm:   1.8445 | time:  1272.11 | tok/s: 32853.880744 | lr: 0.010000
step:      640 | loss:   4.0748 | norm:   1.7671 | time:  1292.08 | tok/s: 32841.449425 | lr: 0.010000
step:      650 | loss:   3.9498 | norm:   2.6840 | time:  1312.13 | tok/s: 32840.594063 | lr: 0.010000
step:      660 | loss:   4.0202 | norm:   1.9294 | time:  1332.10 | tok/s: 32814.060749 | lr: 0.010000
step:      670 | loss:   4.0758 | norm:   1.7184 | time:  1352.07 | tok/s: 32877.816018 | lr: 0.010000
step:      680 | loss:   4.0339 | norm:   1.7552 | time:  1372.13 | tok/s: 32856.339075 | lr: 0.010000
step:      690 | loss:   4.0983 | norm:   4.4778 | time:  1392.10 | tok/s: 32856.586499 | lr: 0.010000
step:      700 | loss:   4.1273 | norm:   2.0703 | time:  1412.07 | tok/s: 32860.404375 | lr: 0.010000
step:      710 | loss:   3.9953 | norm:   2.8259 | time:  1432.12 | tok/s: 32817.100808 | lr: 0.010000
step:      720 | loss:   4.0772 | norm:   1.6332 | time:  1452.10 | tok/s: 32874.076659 | lr: 0.010000
step:      730 | loss:   3.9665 | norm:   1.6601 | time:  1472.15 | tok/s: 32830.737073 | lr: 0.010000
step:      740 | loss:   3.8603 | norm:   2.0214 | time:  1492.21 | tok/s: 32863.244790 | lr: 0.010000
step:      750 | loss:   3.9770 | norm:   1.7998 | time:  1512.18 | tok/s: 32854.363742 | lr: 0.010000
step:      760 | loss:   3.8604 | norm:   2.6299 | time:  1532.15 | tok/s: 32852.808776 | lr: 0.010000
step:      770 | loss:   4.2895 | norm:   3.5727 | time:  1552.12 | tok/s: 32891.203683 | lr: 0.010000
step:      780 | loss:   3.9213 | norm:   2.0667 | time:  1572.08 | tok/s: 32855.616460 | lr: 0.010000
step:      790 | loss:   3.9255 | norm:   2.5469 | time:  1592.14 | tok/s: 32843.411433 | lr: 0.010000
step:      800 | loss:   3.9098 | norm:   2.9098 | time:  1612.20 | tok/s: 32845.279482 | lr: 0.010000
step:      810 | loss:   3.7889 | norm:   2.0862 | time:  1632.17 | tok/s: 32839.632815 | lr: 0.010000
step:      820 | loss:   3.9361 | norm:   1.8260 | time:  1652.22 | tok/s: 32842.167493 | lr: 0.010000
