Model Parameters: 163.6M
step:      570 | loss:   3.6620 | norm:   1.6684 | time:  2291.50 | tok/s:  30198.3 | lr: 0.010000 | mfu:    71.26%
step:      580 | loss:   3.6471 | norm:   1.8820 | time:  2333.85 | tok/s:  31207.9 | lr: 0.010000 | mfu:    73.64%
step:      590 | loss:   3.7187 | norm:   1.6335 | time:  2375.81 | tok/s:  31093.3 | lr: 0.010000 | mfu:    73.37%
step:      600 | loss:   3.7381 | norm:   1.7424 | time:  2417.80 | tok/s:  30771.8 | lr: 0.010000 | mfu:    72.62%
Model saved to saved_models
step:      610 | loss:   3.6537 | norm:   1.6006 | time:  2469.97 | tok/s:  32750.2 | lr: 0.010000 | mfu:    77.28%
step:      620 | loss:   3.6330 | norm:   1.9830 | time:  2509.93 | tok/s:  33350.2 | lr: 0.010000 | mfu:    78.70%
step:      630 | loss:   3.6627 | norm:   1.9993 | time:  2550.41 | tok/s:  33404.9 | lr: 0.010000 | mfu:    78.83%
step:      640 | loss:   3.6012 | norm:   2.7396 | time:  2589.72 | tok/s:  33809.7 | lr: 0.010000 | mfu:    79.78%
step:      650 | loss:   3.6289 | norm:   1.8955 | time:  2628.73 | tok/s:  33128.6 | lr: 0.010000 | mfu:    78.18%
step:      660 | loss:   3.4999 | norm:   1.6649 | time:  2669.29 | tok/s:  32174.0 | lr: 0.010000 | mfu:    75.92%
step:      670 | loss:   3.5403 | norm:   1.7836 | time:  2710.31 | tok/s:  32598.7 | lr: 0.010000 | mfu:    76.93%
step:      680 | loss:   3.5198 | norm:   1.5978 | time:  2750.19 | tok/s:  32859.3 | lr: 0.010000 | mfu:    77.54%
step:      690 | loss:   3.5437 | norm:   1.5471 | time:  2790.44 | tok/s:  31810.5 | lr: 0.010000 | mfu:    75.07%
step:      700 | loss:   3.5546 | norm:   1.5053 | time:  2831.62 | tok/s:  33962.3 | lr: 0.010000 | mfu:    80.14%
Model saved to saved_models
step:      710 | loss:   3.5387 | norm:   1.7579 | time:  2882.30 | tok/s:  33717.2 | lr: 0.010000 | mfu:    79.57%
step:      720 | loss:   3.5462 | norm:   1.7821 | time:  2921.60 | tok/s:  31688.8 | lr: 0.010000 | mfu:    74.78%
step:      730 | loss:   3.4448 | norm:   1.6065 | time:  2963.66 | tok/s:  32762.9 | lr: 0.010000 | mfu:    77.31%
step:      740 | loss:   3.4389 | norm:   1.5590 | time:  3004.53 | tok/s:  33783.9 | lr: 0.010000 | mfu:    79.72%
step:      750 | loss:   3.4103 | norm:   1.4915 | time:  3044.19 | tok/s:  33245.1 | lr: 0.010000 | mfu:    78.45%
step:      760 | loss:   3.4070 | norm:   1.7714 | time:  3084.69 | tok/s:  33525.3 | lr: 0.010000 | mfu:    79.11%
step:      770 | loss:   3.3394 | norm:   1.6204 | time:  3125.40 | tok/s:  33065.7 | lr: 0.010000 | mfu:    78.03%
step:      780 | loss:   3.3888 | norm:   1.8046 | time:  3164.96 | tok/s:  33681.4 | lr: 0.010000 | mfu:    79.48%
step:      790 | loss:   3.4901 | norm:   1.6257 | time:  3205.22 | tok/s:  29155.3 | lr: 0.010000 | mfu:    68.80%
step:      800 | loss:   3.5028 | norm:   1.9504 | time:  3254.55 | tok/s:  33536.4 | lr: 0.010000 | mfu:    79.14%
Model saved to saved_models
step:      810 | loss:   3.5368 | norm:   1.6032 | time:  3309.63 | tok/s:  32873.2 | lr: 0.010000 | mfu:    77.57%
step:      820 | loss:   3.4551 | norm:   1.5924 | time:  3350.41 | tok/s:  32064.9 | lr: 0.010000 | mfu:    75.67%
step:      830 | loss:   3.4552 | norm:   1.7957 | time:  3390.94 | tok/s:  32130.4 | lr: 0.010000 | mfu:    75.82%
step:      840 | loss:   3.6258 | norm:   1.8892 | time:  3431.59 | tok/s:  32626.5 | lr: 0.010000 | mfu:    76.99%
step:      850 | loss:   3.3212 | norm:   1.8814 | time:  3470.31 | tok/s:  34000.2 | lr: 0.010000 | mfu:    80.23%
step:      860 | loss:   3.5628 | norm:   1.6626 | time:  3508.90 | tok/s:  33974.2 | lr: 0.010000 | mfu:    80.17%
step:      870 | loss:   3.4728 | norm:   1.7965 | time:  3547.52 | tok/s:  33979.2 | lr: 0.010000 | mfu:    80.18%
step:      880 | loss:   3.3579 | norm:   1.8236 | time:  3586.12 | tok/s:  33955.1 | lr: 0.010000 | mfu:    80.13%
step:      890 | loss:   3.3852 | norm:   1.6503 | time:  3624.72 | tok/s:  33957.2 | lr: 0.010000 | mfu:    80.13%
step:      900 | loss:   3.5058 | norm:   1.9201 | time:  3663.37 | tok/s:  34005.5 | lr: 0.010000 | mfu:    80.25%
Model saved to saved_models
step:      910 | loss:   3.4810 | norm:   1.9279 | time:  3713.31 | tok/s:  33995.6 | lr: 0.010000 | mfu:    80.22%
step:      920 | loss:   3.4318 | norm:   1.6540 | time:  3751.89 | tok/s:  33994.9 | lr: 0.010000 | mfu:    80.22%
step:      930 | loss:   3.4919 | norm:   1.9124 | time:  3790.59 | tok/s:  34031.1 | lr: 0.010000 | mfu:    80.31%
step:      940 | loss:   3.3843 | norm:   1.6940 | time:  3829.15 | tok/s:  33959.3 | lr: 0.010000 | mfu:    80.14%
step:      950 | loss:   3.4796 | norm:   1.9468 | time:  3867.74 | tok/s:  33994.4 | lr: 0.010000 | mfu:    80.22%
step:      960 | loss:   3.4092 | norm:   1.7929 | time:  3906.38 | tok/s:  34012.0 | lr: 0.010000 | mfu:    80.26%
step:      970 | loss:   3.3726 | norm:   1.8962 | time:  3944.95 | tok/s:  33965.8 | lr: 0.010000 | mfu:    80.15%
step:      980 | loss:   3.4192 | norm:   1.6730 | time:  3983.59 | tok/s:  34013.9 | lr: 0.010000 | mfu:    80.27%
step:      990 | loss:   3.2497 | norm:   1.9069 | time:  4022.21 | tok/s:  34006.0 | lr: 0.010000 | mfu:    80.25%
step:     1000 | loss:   3.3400 | norm:   1.7235 | time:  4060.76 | tok/s:  34015.5 | lr: 0.010000 | mfu:    80.27%
