Model Parameters: 163.6M
step:    11860 | loss:   2.9687 | norm:   1.5825 | time: 47358.92 | tok/s:  34004.2 | lr: 0.010000 | mfu:    80.24%
step:    11870 | loss:   3.0035 | norm:   1.4199 | time: 47400.45 | tok/s:  33986.8 | lr: 0.010000 | mfu:    80.20%
step:    11880 | loss:   2.9846 | norm:   1.5414 | time: 47439.02 | tok/s:  33961.0 | lr: 0.010000 | mfu:    80.14%
step:    11890 | loss:   2.9928 | norm:   1.6117 | time: 47477.61 | tok/s:  33999.6 | lr: 0.010000 | mfu:    80.23%
step:    11900 | loss:   3.0276 | norm:   1.3651 | time: 47516.19 | tok/s:  33955.1 | lr: 0.010000 | mfu:    80.13%
Model saved to saved_models
step:    11910 | loss:   3.0331 | norm:   1.9779 | time: 47565.93 | tok/s:  33986.3 | lr: 0.010000 | mfu:    80.20%
step:    11920 | loss:   3.0428 | norm:   1.4570 | time: 47604.51 | tok/s:  33990.4 | lr: 0.010000 | mfu:    80.21%
step:    11930 | loss:   3.0301 | norm:   1.5557 | time: 47643.09 | tok/s:  34004.3 | lr: 0.010000 | mfu:    80.24%
step:    11940 | loss:   3.0238 | norm:   1.5712 | time: 47681.67 | tok/s:  33988.0 | lr: 0.010000 | mfu:    80.20%
step:    11950 | loss:   2.9583 | norm:   1.5441 | time: 47720.25 | tok/s:  33999.8 | lr: 0.010000 | mfu:    80.23%
step:    11960 | loss:   3.1373 | norm:   2.3278 | time: 47758.83 | tok/s:  33993.2 | lr: 0.010000 | mfu:    80.22%
step:    11970 | loss:   2.9523 | norm:   1.4308 | time: 47797.41 | tok/s:  33987.5 | lr: 0.010000 | mfu:    80.20%
step:    11980 | loss:   3.1466 | norm:   1.8979 | time: 47835.99 | tok/s:  33988.1 | lr: 0.010000 | mfu:    80.21%
step:    11990 | loss:   2.9018 | norm:   1.4827 | time: 47874.57 | tok/s:  33977.4 | lr: 0.010000 | mfu:    80.18%
step:    12000 | loss:   3.0270 | norm:   1.5408 | time: 47913.14 | tok/s:  33990.4 | lr: 0.010000 | mfu:    80.21%
Model saved to saved_models
step:    12010 | loss:   2.9250 | norm:   1.5672 | time: 47964.80 | tok/s:  33992.3 | lr: 0.010000 | mfu:    80.21%
step:    12020 | loss:   2.9173 | norm:   1.7005 | time: 48003.38 | tok/s:  33986.3 | lr: 0.010000 | mfu:    80.20%
step:    12030 | loss:   3.2530 | norm:   1.7426 | time: 48041.96 | tok/s:  33987.8 | lr: 0.010000 | mfu:    80.20%
