Model Parameters: 218.9M
step:        0 | loss:  11.2592 | norm:   2.8656 | time:     6.22 | tok/s:  14871.3 | lr: 0.000100 | mfu:    46.62%
step:       10 | loss:  10.9820 | norm:   3.0812 | time:    60.06 | tok/s:  26171.6 | lr: 0.000600 | mfu:    82.05%
step:       20 | loss:  10.3335 | norm:   2.8842 | time:   110.19 | tok/s:  26157.8 | lr: 0.001100 | mfu:    82.01%
step:       30 | loss:   9.3664 | norm:   2.4933 | time:   160.36 | tok/s:  26161.9 | lr: 0.001600 | mfu:    82.02%
step:       40 | loss:   8.6136 | norm:   3.1024 | time:   210.53 | tok/s:  26155.4 | lr: 0.002100 | mfu:    82.00%
step:       50 | loss:   7.7649 | norm:   1.9343 | time:   260.71 | tok/s:  26163.3 | lr: 0.002600 | mfu:    82.03%
step:       60 | loss:   7.1735 | norm:   1.2941 | time:   310.89 | tok/s:  26143.5 | lr: 0.003100 | mfu:    81.96%
step:       70 | loss:   6.5873 | norm:   1.0322 | time:   361.03 | tok/s:  26140.5 | lr: 0.003600 | mfu:    81.95%
step:       80 | loss:   6.2545 | norm:   1.5906 | time:   411.23 | tok/s:  26140.1 | lr: 0.004100 | mfu:    81.95%
step:       90 | loss:   6.0263 | norm:   2.4727 | time:   461.43 | tok/s:  26152.9 | lr: 0.004600 | mfu:    81.99%
step:      100 | loss:   5.6887 | norm:   2.4464 | time:   511.63 | tok/s:  26127.8 | lr: 0.005100 | mfu:    81.91%
step:      110 | loss:   5.5062 | norm:   2.3836 | time:   561.83 | tok/s:  26140.6 | lr: 0.005600 | mfu:    81.95%
step:      120 | loss:   5.3014 | norm:   2.6343 | time:   612.03 | tok/s:  26137.4 | lr: 0.006100 | mfu:    81.94%
step:      130 | loss:   5.1849 | norm:   3.1114 | time:   662.19 | tok/s:  26105.3 | lr: 0.006600 | mfu:    81.84%
step:      140 | loss:   4.9675 | norm:   2.4423 | time:   712.40 | tok/s:  26135.2 | lr: 0.007100 | mfu:    81.94%
step:      150 | loss:   5.0221 | norm:   2.5574 | time:   762.60 | tok/s:  26118.1 | lr: 0.007600 | mfu:    81.88%
step:      160 | loss:   4.8224 | norm:   2.4278 | time:   812.81 | tok/s:  26139.7 | lr: 0.008100 | mfu:    81.95%
step:      170 | loss:   4.8002 | norm:   3.1847 | time:   862.98 | tok/s:  26133.3 | lr: 0.008600 | mfu:    81.93%
step:      180 | loss:   4.8451 | norm:   4.5746 | time:   913.19 | tok/s:  26125.2 | lr: 0.009100 | mfu:    81.91%
step:      190 | loss:   4.6726 | norm:   3.3897 | time:   963.36 | tok/s:  26147.6 | lr: 0.009600 | mfu:    81.98%
step:      200 | loss:   4.5835 | norm:   4.7273 | time:  1013.53 | tok/s:  26133.0 | lr: 0.010100 | mfu:    81.93%
step:      210 | loss:   4.4657 | norm:   3.5468 | time:  1063.72 | tok/s:  26151.1 | lr: 0.010000 | mfu:    81.99%
step:      220 | loss:   4.5030 | norm:   2.6397 | time:  1113.90 | tok/s:  26138.6 | lr: 0.010000 | mfu:    81.95%
step:      230 | loss:   4.4284 | norm:   2.8049 | time:  1164.11 | tok/s:  25739.6 | lr: 0.010000 | mfu:    80.70%
step:      240 | loss:   4.4794 | norm:   2.6661 | time:  1214.34 | tok/s:  26121.5 | lr: 0.010000 | mfu:    81.89%
step:      250 | loss:   4.3723 | norm:   3.8471 | time:  1264.51 | tok/s:  26120.4 | lr: 0.010000 | mfu:    81.89%
step:      260 | loss:   4.5107 | norm:   3.2632 | time:  1314.68 | tok/s:  26124.4 | lr: 0.010000 | mfu:    81.90%
step:      270 | loss:   4.3392 | norm:   2.8793 | time:  1364.89 | tok/s:  26135.7 | lr: 0.010000 | mfu:    81.94%
step:      280 | loss:   4.3282 | norm:   2.5208 | time:  1415.11 | tok/s:  26135.5 | lr: 0.010000 | mfu:    81.94%
step:      290 | loss:   4.2168 | norm:   2.5926 | time:  1465.28 | tok/s:  26121.1 | lr: 0.010000 | mfu:    81.89%
step:      300 | loss:   4.2208 | norm:   2.4233 | time:  1515.50 | tok/s:  26134.3 | lr: 0.010000 | mfu:    81.93%
step:      310 | loss:   3.9821 | norm:   2.3761 | time:  1565.70 | tok/s:  26132.2 | lr: 0.010000 | mfu:    81.93%
step:      320 | loss:   4.0385 | norm:   2.8306 | time:  1615.87 | tok/s:  26131.3 | lr: 0.010000 | mfu:    81.93%
step:      330 | loss:   4.1596 | norm:   2.0368 | time:  1666.08 | tok/s:  26136.1 | lr: 0.010000 | mfu:    81.94%
step:      340 | loss:   4.1592 | norm:   3.1301 | time:  1716.30 | tok/s:  26124.8 | lr: 0.010000 | mfu:    81.91%
step:      350 | loss:   4.0579 | norm:   2.4626 | time:  1766.51 | tok/s:  26157.4 | lr: 0.010000 | mfu:    82.01%
step:      360 | loss:   3.9375 | norm:   2.3582 | time:  1816.68 | tok/s:  26136.9 | lr: 0.010000 | mfu:    81.94%
step:      370 | loss:   4.0469 | norm:   2.3125 | time:  1866.85 | tok/s:  26129.1 | lr: 0.010000 | mfu:    81.92%
step:      380 | loss:   4.0096 | norm:   2.2310 | time:  1917.06 | tok/s:  26117.3 | lr: 0.010000 | mfu:    81.88%
step:      390 | loss:   4.0795 | norm:   2.6890 | time:  1967.23 | tok/s:  26137.3 | lr: 0.010000 | mfu:    81.94%
step:      400 | loss:   3.9012 | norm:   1.5290 | time:  2017.44 | tok/s:  26136.9 | lr: 0.010000 | mfu:    81.94%
step:      410 | loss:   3.9524 | norm:   2.7227 | time:  2067.62 | tok/s:  26121.4 | lr: 0.010000 | mfu:    81.89%
step:      420 | loss:   3.9353 | norm:   2.3965 | time:  2117.84 | tok/s:  26139.7 | lr: 0.010000 | mfu:    81.95%
step:      430 | loss:   3.7783 | norm:   1.9090 | time:  2168.06 | tok/s:  26128.7 | lr: 0.010000 | mfu:    81.92%
step:      440 | loss:   3.9305 | norm:   2.0886 | time:  2218.24 | tok/s:  26119.1 | lr: 0.010000 | mfu:    81.89%
step:      450 | loss:   3.8857 | norm:   2.3909 | time:  2268.42 | tok/s:  26116.5 | lr: 0.010000 | mfu:    81.88%
step:      460 | loss:   3.8025 | norm:   1.9420 | time:  2318.61 | tok/s:  25637.2 | lr: 0.010000 | mfu:    80.38%
step:      470 | loss:   3.7459 | norm:   2.2665 | time:  2368.92 | tok/s:  26141.4 | lr: 0.010000 | mfu:    81.96%
step:      480 | loss:   3.8096 | norm:   1.9125 | time:  2419.14 | tok/s:  26133.4 | lr: 0.010000 | mfu:    81.93%
step:      490 | loss:   3.6750 | norm:   1.4581 | time:  2469.35 | tok/s:  26138.3 | lr: 0.010000 | mfu:    81.95%
step:      500 | loss:   3.7580 | norm:   2.1703 | time:  2519.56 | tok/s:  26112.0 | lr: 0.010000 | mfu:    81.86%
step:      510 | loss:   3.7022 | norm:   1.9735 | time:  2569.79 | tok/s:  26128.4 | lr: 0.010000 | mfu:    81.92%
step:      520 | loss:   3.6855 | norm:   2.1639 | time:  2619.97 | tok/s:  26139.0 | lr: 0.010000 | mfu:    81.95%
step:      530 | loss:   3.8251 | norm:   2.0097 | time:  2670.18 | tok/s:  26123.5 | lr: 0.010000 | mfu:    81.90%
step:      540 | loss:   3.6882 | norm:   2.7441 | time:  2720.41 | tok/s:  26139.9 | lr: 0.010000 | mfu:    81.95%
step:      550 | loss:   3.8271 | norm:   2.1482 | time:  2770.62 | tok/s:  26142.4 | lr: 0.010000 | mfu:    81.96%
step:      560 | loss:   3.7862 | norm:   2.2816 | time:  2820.84 | tok/s:  26135.7 | lr: 0.010000 | mfu:    81.94%
step:      570 | loss:   3.6683 | norm:   1.9765 | time:  2871.00 | tok/s:  26131.2 | lr: 0.010000 | mfu:    81.93%
