W0414 18:49:28.807000 24816 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
C:\Users\brodi\AppData\Local\Python\pythoncore-3.12-64\Lib\site-packages\torch\_inductor\lowering.py:7513: UserWarning:
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
C:\Users\brodi\AppData\Local\Python\pythoncore-3.12-64\Lib\site-packages\torch\_inductor\lowering.py:7513: UserWarning:
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
step:        0 | loss:  10.5802 | norm:   1.0693 | time:     8.34 | tok/s: 288.663613 | lr: 0.000100
step:      500 | loss:   4.2471 | norm:   1.6258 | time:  2829.66 | tok/s: 12641.715382 | lr: 0.010000
step:      510 | loss:   4.3350 | norm:   1.8275 | time:  2881.52 | tok/s: 12638.933432 | lr: 0.010000
step:      520 | loss:   4.6531 | norm:   3.9374 | time:  2933.47 | tok/s: 12642.270058 | lr: 0.010000
step:      530 | loss:   4.3446 | norm:   3.1832 | time:  2985.42 | tok/s: 12634.357447 | lr: 0.010000
step:      540 | loss:   4.4311 | norm:   1.6665 | time:  3037.39 | tok/s: 12642.490431 | lr: 0.010000
step:      550 | loss:   4.6136 | norm:  98.6365 | time:  3089.25 | tok/s: 12646.647545 | lr: 0.010000
step:      560 | loss:   4.3432 | norm:   1.6748 | time:  3141.10 | tok/s: 12645.088380 | lr: 0.010000
step:      570 | loss:   4.2880 | norm:   1.7201 | time:  3193.05 | tok/s: 12642.506130 | lr: 0.010000
step:      580 | loss:   4.3325 | norm:   1.4678 | time:  3244.99 | tok/s: 12647.763632 | lr: 0.009863
step:      590 | loss:   4.4575 | norm:   2.4290 | time:  3296.84 | tok/s: 12643.716865 | lr: 0.008437
step:      600 | loss:   4.1665 | norm:   1.1356 | time:  3348.80 | tok/s: 12642.576488 | lr: 0.007008
step:      610 | loss:   4.0885 | norm:   5.9220 | time:  3400.85 | tok/s: 12642.761982 | lr: 0.005577
step:      620 | loss:   3.9958 | norm:   1.4245 | time:  3452.81 | tok/s: 12638.816624 | lr: 0.004148
step:      630 | loss:   3.9757 | norm:   0.8393 | time:  3504.76 | tok/s: 12645.154113 | lr: 0.002719
step:      640 | loss:   3.9728 | norm:   0.6892 | time:  3556.71 | tok/s: 12645.191924 | lr: 0.001291
C:\Users\brodi\AppData\Local\Python\pythoncore-3.12-64\Lib\site-packages\torch\_inductor\lowering.py:7513: UserWarning:
Online softmax is disabled on the fly since Inductor decides to
split the reduction. Cut an issue to PyTorch if this is an
important use case and you want to speed it up with online
softmax.

  warnings.warn(
Final BPB: tensor(2.2104, device='cuda:0')
