W0419 16:48:11.112000 29508 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  28.0287 | norm:  35.5210 | time:     5.31 | tok/s:   2850.5 | lr: 0.000100 | mfu:     9.04%
step:       10 | loss:  27.0632 | norm:  33.0966 | time:    96.87 | tok/s:  25850.9 | lr: 0.000600 | mfu:    82.03%
step:       20 | loss:  24.6151 | norm:  27.3362 | time:   148.16 | tok/s:  25229.3 | lr: 0.001100 | mfu:    80.05%
step:       30 | loss:  21.3979 | norm:  19.6726 | time:   201.63 | tok/s:  25810.8 | lr: 0.001600 | mfu:    81.90%
step:       40 | loss:  18.0234 | norm:  16.5872 | time:   253.85 | tok/s:  25590.8 | lr: 0.002100 | mfu:    81.20%
step:       50 | loss:  15.0679 | norm:   9.4440 | time:   305.60 | tok/s:  25176.6 | lr: 0.002600 | mfu:    79.89%
step:       60 | loss:  12.3316 | norm:   6.7696 | time:   357.64 | tok/s:  25319.7 | lr: 0.003100 | mfu:    80.34%
step:       70 | loss:  10.0342 | norm:   5.8624 | time:   410.40 | tok/s:  25627.0 | lr: 0.003600 | mfu:    81.32%
step:       80 | loss:   8.0492 | norm:   2.5420 | time:   461.70 | tok/s:  25497.5 | lr: 0.004100 | mfu:    80.91%
step:       90 | loss:   6.9935 | norm:   1.4019 | time:   514.40 | tok/s:  24777.8 | lr: 0.004600 | mfu:    78.62%
step:      100 | loss:   6.2856 | norm:   1.6840 | time:   566.74 | tok/s:  25591.2 | lr: 0.005100 | mfu:    81.20%
step:      110 | loss:   5.9658 | norm:   1.9587 | time:   618.11 | tok/s:  25418.8 | lr: 0.005600 | mfu:    80.66%
step:      120 | loss:   5.6532 | norm:   2.6460 | time:   669.27 | tok/s:  25700.0 | lr: 0.006100 | mfu:    81.55%
step:      130 | loss:   5.4825 | norm:   2.5295 | time:   722.33 | tok/s:  25770.1 | lr: 0.006600 | mfu:    81.77%
step:      140 | loss:   5.2666 | norm:   2.5556 | time:   774.12 | tok/s:  25800.3 | lr: 0.007100 | mfu:    81.87%
step:      150 | loss:   5.2868 | norm:   3.1404 | time:   824.98 | tok/s:  25788.9 | lr: 0.007600 | mfu:    81.83%
