W0417 09:19:02.263000 12996 site-packages\torch\_inductor\utils.py:1691] [0/0] Not enough SMs to use max_autotune_gemm mode
step:        0 | loss:  10.8783 | norm:   1.8307 | time:    15.40 | tok/s:   1579.4 | lr: 0.000100
step:      560 | loss:   4.0423 | norm:   1.4920 | time:  1516.88 | tok/s:  25120.4 | lr: 0.010000
step:      570 | loss:   3.9900 | norm:   1.9181 | time:  1543.00 | tok/s:  25085.6 | lr: 0.010000
step:      580 | loss:   4.0040 | norm:   1.3899 | time:  1569.12 | tok/s:  25123.1 | lr: 0.010000
step:      590 | loss:   4.0974 | norm:   1.5339 | time:  1595.24 | tok/s:  25118.2 | lr: 0.010000
step:      600 | loss:   3.9515 | norm:   1.5381 | time:  1621.35 | tok/s:  25128.0 | lr: 0.010000
step:      610 | loss:   3.9109 | norm:   1.1799 | time:  1647.45 | tok/s:  25114.1 | lr: 0.010000
step:      620 | loss:   3.7407 | norm:   1.3191 | time:  1673.57 | tok/s:  25128.4 | lr: 0.010000
step:      630 | loss:   3.8025 | norm:   1.3289 | time:  1699.69 | tok/s:  25128.6 | lr: 0.010000
step:      640 | loss:   3.8579 | norm:   1.4216 | time:  1725.80 | tok/s:  25114.7 | lr: 0.010000
step:      650 | loss:   3.9326 | norm:   1.3144 | time:  1751.91 | tok/s:  25108.2 | lr: 0.010000
step:      660 | loss:   3.9148 | norm:   1.4090 | time:  1778.02 | tok/s:  25115.2 | lr: 0.010000
step:      670 | loss:   3.8878 | norm:   1.3935 | time:  1804.13 | tok/s:  25106.1 | lr: 0.010000
step:      680 | loss:   4.0010 | norm:   1.4592 | time:  1830.25 | tok/s:  25118.0 | lr: 0.010000
step:      690 | loss:   3.8328 | norm:   2.0277 | time:  1856.36 | tok/s:  25123.5 | lr: 0.010000
step:      700 | loss:   3.8644 | norm:   1.6080 | time:  1882.46 | tok/s:  25127.4 | lr: 0.010000
step:      710 | loss:   3.7524 | norm:   0.8353 | time:  1908.58 | tok/s:  25111.4 | lr: 0.010000
step:      720 | loss:   3.7258 | norm:   1.7395 | time:  1934.69 | tok/s:  25089.8 | lr: 0.010000
step:      730 | loss:   3.8071 | norm:   1.1716 | time:  1960.81 | tok/s:  25088.1 | lr: 0.010000
step:      740 | loss:   3.9193 | norm:   1.7481 | time:  1986.92 | tok/s:  25126.9 | lr: 0.010000
step:      750 | loss:   3.7899 | norm:   1.5665 | time:  2013.03 | tok/s:  25113.9 | lr: 0.010000
step:      760 | loss:   3.7733 | norm:   1.3706 | time:  2039.15 | tok/s:  25111.8 | lr: 0.010000
step:      770 | loss:   3.6970 | norm:   1.2377 | time:  2065.26 | tok/s:  25103.0 | lr: 0.010000
step:      780 | loss:   4.0561 | norm:   1.5720 | time:  2091.38 | tok/s:  25123.3 | lr: 0.010000
step:      790 | loss:   3.9161 | norm:   1.8285 | time:  2117.48 | tok/s:  25119.0 | lr: 0.010000
step:      800 | loss:   3.7498 | norm:   1.1176 | time:  2143.61 | tok/s:  25108.1 | lr: 0.010000
step:      810 | loss:   3.6668 | norm:   1.1612 | time:  2169.72 | tok/s:  25121.8 | lr: 0.010000
step:      820 | loss:   3.8338 | norm:   1.5635 | time:  2195.84 | tok/s:  25116.1 | lr: 0.010000
step:      830 | loss:   3.6983 | norm:   1.2153 | time:  2221.95 | tok/s:  25124.1 | lr: 0.010000
step:      840 | loss:   3.7598 | norm:   1.6457 | time:  2248.06 | tok/s:  25094.7 | lr: 0.010000
step:      850 | loss:   3.5698 | norm:   1.3517 | time:  2274.17 | tok/s:  25110.3 | lr: 0.010000
step:      860 | loss:   3.6072 | norm:   1.5413 | time:  2300.29 | tok/s:  25112.0 | lr: 0.010000
step:      870 | loss:   3.5812 | norm:   1.3217 | time:  2326.40 | tok/s:  25116.0 | lr: 0.010000
step:      880 | loss:   3.7128 | norm:   1.4038 | time:  2352.51 | tok/s:  25073.3 | lr: 0.010000
step:      890 | loss:   3.7071 | norm:   1.5398 | time:  2378.63 | tok/s:  25130.4 | lr: 0.010000
step:      900 | loss:   3.7069 | norm:   1.1202 | time:  2404.81 | tok/s:  25130.1 | lr: 0.010000
step:      910 | loss:   3.5458 | norm:   1.1375 | time:  2430.91 | tok/s:  25087.5 | lr: 0.010000
step:      920 | loss:   3.5791 | norm:   1.4528 | time:  2457.03 | tok/s:  24479.4 | lr: 0.010000
step:      930 | loss:   3.5412 | norm:   1.4031 | time:  2483.20 | tok/s:  25099.4 | lr: 0.010000
step:      940 | loss:   3.5519 | norm:   1.4216 | time:  2509.40 | tok/s:  25124.4 | lr: 0.010000
step:      950 | loss:   3.6090 | norm:   1.3157 | time:  2535.50 | tok/s:  25125.1 | lr: 0.010000
step:      960 | loss:   3.6322 | norm:   1.2537 | time:  2561.62 | tok/s:  25111.3 | lr: 0.010000
step:      970 | loss:   3.5922 | norm:   1.8393 | time:  2587.74 | tok/s:  25115.6 | lr: 0.010000
step:      980 | loss:   3.3322 | norm:   1.2365 | time:  2613.85 | tok/s:  25105.3 | lr: 0.010000
step:      990 | loss:   3.6447 | norm:   1.6035 | time:  2639.97 | tok/s:  25101.9 | lr: 0.010000
step:     1000 | loss:   3.6162 | norm:   1.3055 | time:  2666.09 | tok/s:  25103.3 | lr: 0.010000
