step:        0 | loss:  11.2897 | norm:   2.0030 | time:     6.91 | tok/s: 10362.388817 | lr: 0.000100
step:      570 | loss:   4.0750 | norm:   1.9658 | time:  1148.35 | tok/s: 32833.666488 | lr: 0.010000
step:      580 | loss:   4.1839 | norm:   5.1265 | time:  1168.32 | tok/s: 32837.883095 | lr: 0.010000
step:      590 | loss:   4.1267 | norm:   1.8109 | time:  1188.29 | tok/s: 32824.601508 | lr: 0.010000
step:      600 | loss:   4.1354 | norm:   2.2509 | time:  1208.26 | tok/s: 32818.013719 | lr: 0.010000
step:      610 | loss:   4.2627 | norm:   2.1317 | time:  1228.24 | tok/s: 32837.887018 | lr: 0.010000
step:      620 | loss:   4.0686 | norm:   1.7545 | time:  1248.22 | tok/s: 32820.819379 | lr: 0.010000
step:      630 | loss:   4.0275 | norm:   1.8185 | time:  1268.19 | tok/s: 32829.007906 | lr: 0.010000
step:      640 | loss:   4.0947 | norm:   1.8364 | time:  1288.17 | tok/s: 32829.952848 | lr: 0.010000
step:      650 | loss:   3.9293 | norm:   1.8857 | time:  1308.14 | tok/s: 32816.540549 | lr: 0.010000
step:      660 | loss:   3.9997 | norm:   1.9122 | time:  1328.11 | tok/s: 32816.579727 | lr: 0.010000
step:      670 | loss:   4.0552 | norm:   1.7247 | time:  1348.09 | tok/s: 32831.623293 | lr: 0.010000
step:      680 | loss:   4.0598 | norm:   3.0407 | time:  1368.06 | tok/s: 32821.379784 | lr: 0.010000
step:      690 | loss:   4.0839 | norm:   2.3422 | time:  1388.03 | tok/s: 32815.157612 | lr: 0.010000
step:      700 | loss:   4.1129 | norm:   2.3309 | time:  1408.01 | tok/s: 32824.856294 | lr: 0.010000
step:      710 | loss:   3.9877 | norm:   1.9468 | time:  1427.98 | tok/s: 32829.376466 | lr: 0.010000
step:      720 | loss:   4.0762 | norm:   2.2637 | time:  1447.95 | tok/s: 32856.288020 | lr: 0.010000
step:      730 | loss:   3.9987 | norm:   2.0261 | time:  1467.92 | tok/s: 32838.954090 | lr: 0.010000
step:      740 | loss:   3.8707 | norm:   1.9939 | time:  1487.89 | tok/s: 32830.466511 | lr: 0.010000
step:      750 | loss:   3.9750 | norm:   3.1231 | time:  1507.87 | tok/s: 32837.549649 | lr: 0.010000
step:      760 | loss:   3.8522 | norm:   1.8231 | time:  1527.84 | tok/s: 32837.212288 | lr: 0.010000
step:      770 | loss:   4.0998 | norm:   2.7669 | time:  1547.81 | tok/s: 32828.404112 | lr: 0.010000
step:      780 | loss:   3.9221 | norm:   2.2061 | time:  1567.79 | tok/s: 32818.934518 | lr: 0.010000
step:      790 | loss:   3.9137 | norm:   2.7930 | time:  1587.77 | tok/s: 32833.635112 | lr: 0.010000
step:      800 | loss:   3.9446 | norm:   1.9906 | time:  1607.74 | tok/s: 32841.798645 | lr: 0.010000
step:      810 | loss:   3.8154 | norm:   2.4159 | time:  1627.72 | tok/s: 32815.988144 | lr: 0.010000
step:      820 | loss:   3.9342 | norm:   1.6365 | time:  1647.71 | tok/s: 32836.600347 | lr: 0.010000
step:      830 | loss:   3.6944 | norm:   1.9710 | time:  1667.67 | tok/s: 32848.376360 | lr: 0.010000
step:      840 | loss:   3.7909 | norm:   2.4029 | time:  1687.64 | tok/s: 32839.216945 | lr: 0.010000
step:      850 | loss:   3.7995 | norm:   2.2793 | time:  1707.62 | tok/s: 32830.537092 | lr: 0.010000
step:      860 | loss:   3.8040 | norm:   2.8859 | time:  1727.59 | tok/s: 32828.525653 | lr: 0.010000
step:      870 | loss:   3.7341 | norm:   2.0160 | time:  1747.56 | tok/s: 32852.003864 | lr: 0.010000
step:      880 | loss:   3.7167 | norm:   3.8872 | time:  1767.54 | tok/s: 32854.921366 | lr: 0.010000
step:      890 | loss:   3.7709 | norm:   2.4407 | time:  1787.50 | tok/s: 32824.844534 | lr: 0.010000
step:      900 | loss:   3.7541 | norm:   2.3474 | time:  1807.47 | tok/s: 32850.339195 | lr: 0.010000
step:      910 | loss:   3.7866 | norm:   2.0392 | time:  1827.44 | tok/s: 32828.027733 | lr: 0.010000
step:      920 | loss:   3.7133 | norm:   2.6228 | time:  1847.42 | tok/s: 32835.035295 | lr: 0.010000
step:      930 | loss:   3.6960 | norm:   1.7894 | time:  1867.40 | tok/s: 32841.111983 | lr: 0.010000
step:      940 | loss:   3.7685 | norm:   2.0249 | time:  1887.37 | tok/s: 32831.097830 | lr: 0.010000
step:      950 | loss:   3.6288 | norm:   2.1007 | time:  1907.35 | tok/s: 32837.683027 | lr: 0.010000
step:      960 | loss:   3.7425 | norm:   1.8872 | time:  1927.34 | tok/s: 32847.846434 | lr: 0.010000
step:      970 | loss:   3.7275 | norm:   1.9024 | time:  1947.31 | tok/s: 32805.460745 | lr: 0.010000
step:      980 | loss:   3.7463 | norm:   2.9504 | time:  1967.29 | tok/s: 32860.761855 | lr: 0.010000
step:      990 | loss:   3.6595 | norm:   2.0562 | time:  1987.29 | tok/s: 32816.869650 | lr: 0.010000
step:     1000 | loss:   3.6477 | norm:   2.0543 | time:  2007.28 | tok/s: 31102.494628 | lr: 0.010000
step:     1010 | loss:   3.6442 | norm:   2.1348 | time:  2027.36 | tok/s: 32829.647010 | lr: 0.010000
step:     1020 | loss:   3.5482 | norm:   2.3337 | time:  2047.33 | tok/s: 32813.120638 | lr: 0.010000
step:     1030 | loss:   3.6613 | norm:   2.0053 | time:  2067.30 | tok/s: 32780.575137 | lr: 0.010000
step:     1040 | loss:   3.5868 | norm:   1.9769 | time:  2087.28 | tok/s: 32809.004372 | lr: 0.010000
step:     1050 | loss:   3.6767 | norm:   2.0360 | time:  2107.25 | tok/s: 32850.594381 | lr: 0.010000
step:     1060 | loss:   3.4899 | norm:   1.9839 | time:  2127.22 | tok/s: 32846.162562 | lr: 0.010000
step:     1070 | loss:   3.7124 | norm:   2.3006 | time:  2147.18 | tok/s: 32833.466471 | lr: 0.010000
step:     1080 | loss:   3.5444 | norm:   2.6366 | time:  2167.15 | tok/s: 32827.659203 | lr: 0.010000
step:     1090 | loss:   3.6551 | norm:   2.5825 | time:  2187.12 | tok/s: 32794.764030 | lr: 0.010000
step:     1100 | loss:   3.4315 | norm:   1.9334 | time:  2207.09 | tok/s: 32832.219362 | lr: 0.010000
step:     1110 | loss:   3.6433 | norm:   2.1290 | time:  2227.06 | tok/s: 32846.668883 | lr: 0.010000
